dtst,x,y,LAD11NM
clmts,17866,1.8,Barnet
clmts,17866,1.3,Bexley
clmts,17866,2.2,Brent
clmts,17866,1.4,Bromley
clmts,17866,1.6,Camden
clmts,17866,1.1,City of London
clmts,17866,3.8,Croydon
clmts,17866,2.8,Ealing
clmts,17866,2.7,Enfield
clmts,17866,2,Greenwich
clmts,17866,2.7,Hackney
clmts,17866,3.3,Hammersmith & Fulham
clmts,17866,2.5,Haringey
clmts,17866,1.4,Harrow
clmts,17866,2,Havering
clmts,17866,1.3,Hillingdon
clmts,17866,3.1,Hounslow
clmts,17866,2.6,Islington
clmts,17866,1.8,Kensington & Chelsea
clmts,17866,1.4,Kingston upon Thames
clmts,17866,3.1,Lambeth
clmts,17866,2.9,Lewisham
clmts,17866,2.2,Merton
clmts,17866,2.2,Newham
clmts,17866,1.6,Redbridge
clmts,17866,1.4,Richmond upon Thames
clmts,17866,3.5,Southwark
clmts,17866,2.4,Sutton
clmts,17866,3,Tower Hamlets
clmts,17866,2.5,Waltham Forest
clmts,17866,1.6,Wandsworth
clmts,17866,1.7,Westminster
clmts,17866,2.3,United Kingdom
clmts,17897,3.2,Barking & Dagenham
clmts,17897,1.8,Barnet
clmts,17897,1.4,Bexley
clmts,17897,2.3,Brent
clmts,17897,1.4,Bromley
clmts,17897,1.6,Camden
clmts,17897,1,City of London
clmts,17897,3.8,Croydon
clmts,17897,2.9,Ealing
clmts,17897,2.8,Enfield
clmts,17897,2.2,Greenwich
clmts,17897,2.8,Hackney
clmts,17897,3.3,Hammersmith & Fulham
clmts,17897,2.7,Haringey
clmts,17897,1.5,Harrow
clmts,17897,2,Havering
clmts,17897,1.5,Hillingdon
clmts,17897,3.1,Hounslow
clmts,17897,2.6,Islington
clmts,17897,1.9,Kensington & Chelsea
clmts,17897,1.5,Kingston upon Thames
clmts,17897,3.1,Lambeth
clmts,17897,3,Lewisham
clmts,17897,2.2,Merton
clmts,17897,2.3,Newham
clmts,17897,1.7,Redbridge
clmts,17897,1.4,Richmond upon Thames
clmts,17897,3.4,Southwark
clmts,17897,2.3,Sutton
clmts,17897,2.9,Tower Hamlets
clmts,17897,2.6,Waltham Forest
clmts,17897,1.6,Wandsworth
clmts,17897,1.7,Westminster
clmts,17897,2.4,United Kingdom
clmts,17928,3.4,Barking & Dagenham
clmts,17928,1.9,Barnet
clmts,17928,1.5,Bexley
clmts,17928,2.4,Brent
clmts,17928,1.5,Bromley
clmts,17928,1.7,Camden
clmts,17928,1,City of London
clmts,17928,4,Croydon
clmts,17928,3,Ealing
clmts,17928,3,Enfield
clmts,17928,2.3,Greenwich
clmts,17928,2.9,Hackney
clmts,17928,3.4,Hammersmith & Fulham
clmts,17928,2.8,Haringey
clmts,17928,1.6,Harrow
clmts,17928,2.1,Havering
clmts,17928,1.6,Hillingdon
clmts,17928,3.4,Hounslow
clmts,17928,2.7,Islington
clmts,17928,2,Kensington & Chelsea
clmts,17928,1.5,Kingston upon Thames
clmts,17928,3.3,Lambeth
clmts,17928,3.2,Lewisham
clmts,17928,2.4,Merton
clmts,17928,2.4,Newham
clmts,17928,1.8,Redbridge
clmts,17928,1.5,Richmond upon Thames
clmts,17928,3.6,Southwark
clmts,17928,2.5,Sutton
clmts,17928,3.1,Tower Hamlets
clmts,17928,2.7,Waltham Forest
clmts,17928,1.7,Wandsworth
clmts,17928,1.8,Westminster
clmts,17928,2.5,United Kingdom
clmts,17956,3.5,Barking & Dagenham
clmts,17956,1.9,Barnet
clmts,17956,1.7,Bexley
clmts,17956,2.5,Brent
clmts,17956,1.6,Bromley
clmts,17956,1.8,Camden
clmts,17956,1,City of London
clmts,17956,4,Croydon
clmts,17956,3.1,Ealing
clmts,17956,3.1,Enfield
clmts,17956,2.5,Greenwich
clmts,17956,3.1,Hackney
clmts,17956,3.4,Hammersmith & Fulham
clmts,17956,2.9,Haringey
clmts,17956,1.6,Harrow
clmts,17956,2.2,Havering
clmts,17956,1.8,Hillingdon
clmts,17956,3.4,Hounslow
clmts,17956,2.8,Islington
clmts,17956,2,Kensington & Chelsea
clmts,17956,1.6,Kingston upon Thames
clmts,17956,3.3,Lambeth
clmts,17956,3.2,Lewisham
clmts,17956,2.4,Merton
clmts,17956,2.5,Newham
clmts,17956,2,Redbridge
clmts,17956,1.6,Richmond upon Thames
clmts,17956,3.6,Southwark
clmts,17956,2.4,Sutton
clmts,17956,3.1,Tower Hamlets
clmts,17956,2.8,Waltham Forest
clmts,17956,1.7,Wandsworth
clmts,17956,1.8,Westminster
clmts,17956,2.6,United Kingdom
clmts,17987,3.6,Barking & Dagenham
clmts,17987,2,Barnet
clmts,17987,1.7,Bexley
clmts,17987,2.7,Brent
clmts,17987,1.7,Bromley
clmts,17987,1.9,Camden
clmts,17987,1.1,City of London
clmts,17987,4.1,Croydon
clmts,17987,3.2,Ealing
clmts,17987,3.1,Enfield
clmts,17987,2.6,Greenwich
clmts,17987,3.1,Hackney
clmts,17987,3.4,Hammersmith & Fulham
clmts,17987,3.1,Haringey
clmts,17987,1.7,Harrow
clmts,17987,2.3,Havering
clmts,17987,1.8,Hillingdon
clmts,17987,3.4,Hounslow
clmts,17987,2.8,Islington
clmts,17987,2,Kensington & Chelsea
clmts,17987,1.6,Kingston upon Thames
clmts,17987,3.3,Lambeth
clmts,17987,3.3,Lewisham
clmts,17987,2.4,Merton
clmts,17987,2.6,Newham
clmts,17987,2,Redbridge
clmts,17987,1.6,Richmond upon Thames
clmts,17987,3.6,Southwark
clmts,17987,2.4,Sutton
clmts,17987,3.1,Tower Hamlets
clmts,17987,2.9,Waltham Forest
clmts,17987,1.8,Wandsworth
clmts,17987,1.9,Westminster
clmts,17987,2.7,United Kingdom
clmts,18017,3.7,Barking & Dagenham
clmts,18017,2.1,Barnet
clmts,18017,1.7,Bexley
clmts,18017,2.8,Brent
clmts,18017,1.7,Bromley
clmts,18017,1.9,Camden
clmts,18017,1,City of London
clmts,18017,4.1,Croydon
clmts,18017,3.3,Ealing
clmts,18017,3.1,Enfield
clmts,18017,2.6,Greenwich
clmts,18017,3.2,Hackney
clmts,18017,3.5,Hammersmith & Fulham
clmts,18017,3.1,Haringey
clmts,18017,1.7,Harrow
clmts,18017,2.3,Havering
clmts,18017,1.9,Hillingdon
clmts,18017,3.4,Hounslow
clmts,18017,2.8,Islington
clmts,18017,2,Kensington & Chelsea
clmts,18017,1.6,Kingston upon Thames
clmts,18017,3.4,Lambeth
clmts,18017,3.4,Lewisham
clmts,18017,2.4,Merton
clmts,18017,2.7,Newham
clmts,18017,2.1,Redbridge
clmts,18017,1.6,Richmond upon Thames
clmts,18017,3.6,Southwark
clmts,18017,2.4,Sutton
clmts,18017,3.1,Tower Hamlets
clmts,18017,2.9,Waltham Forest
clmts,18017,1.8,Wandsworth
clmts,18017,1.9,Westminster
clmts,18017,2.7,United Kingdom
clmts,18048,3.7,Barking & Dagenham
clmts,18048,2.2,Barnet
clmts,18048,1.8,Bexley
clmts,18048,2.9,Brent
clmts,18048,1.8,Bromley
clmts,18048,2,Camden
clmts,18048,1.1,City of London
clmts,18048,4.1,Croydon
clmts,18048,3.3,Ealing
clmts,18048,3.2,Enfield
clmts,18048,2.8,Greenwich
clmts,18048,3.3,Hackney
clmts,18048,3.5,Hammersmith & Fulham
clmts,18048,3.2,Haringey
clmts,18048,1.8,Harrow
clmts,18048,2.3,Havering
clmts,18048,2,Hillingdon
clmts,18048,3.4,Hounslow
clmts,18048,3,Islington
clmts,18048,2.1,Kensington & Chelsea
clmts,18048,1.6,Kingston upon Thames
clmts,18048,3.4,Lambeth
clmts,18048,3.5,Lewisham
clmts,18048,2.4,Merton
clmts,18048,2.8,Newham
clmts,18048,2.2,Redbridge
clmts,18048,1.6,Richmond upon Thames
clmts,18048,3.7,Southwark
clmts,18048,2.5,Sutton
clmts,18048,3.2,Tower Hamlets
clmts,18048,3.1,Waltham Forest
clmts,18048,1.9,Wandsworth
clmts,18048,2,Westminster
clmts,18048,2.7,United Kingdom
clmts,18078,3.7,Barking & Dagenham
clmts,18078,2.2,Barnet
clmts,18078,1.9,Bexley
clmts,18078,3,Brent
clmts,18078,1.8,Bromley
clmts,18078,2,Camden
clmts,18078,1.1,City of London
clmts,18078,4.1,Croydon
clmts,18078,3.3,Ealing
clmts,18078,3.2,Enfield
clmts,18078,2.8,Greenwich
clmts,18078,3.4,Hackney
clmts,18078,3.5,Hammersmith & Fulham
clmts,18078,3.3,Haringey
clmts,18078,1.9,Harrow
clmts,18078,2.4,Havering
clmts,18078,2,Hillingdon
clmts,18078,3.4,Hounslow
clmts,18078,3,Islington
clmts,18078,2.1,Kensington & Chelsea
clmts,18078,1.7,Kingston upon Thames
clmts,18078,3.4,Lambeth
clmts,18078,3.6,Lewisham
clmts,18078,2.5,Merton
clmts,18078,2.8,Newham
clmts,18078,2.2,Redbridge
clmts,18078,1.7,Richmond upon Thames
clmts,18078,3.7,Southwark
clmts,18078,2.4,Sutton
clmts,18078,3.3,Tower Hamlets
clmts,18078,3,Waltham Forest
clmts,18078,1.9,Wandsworth
clmts,18078,2,Westminster
clmts,18078,2.7,United Kingdom
clmts,18109,3.8,Barking & Dagenham
clmts,18109,2.2,Barnet
clmts,18109,1.9,Bexley
clmts,18109,3.1,Brent
clmts,18109,1.8,Bromley
clmts,18109,2.1,Camden
clmts,18109,1.1,City of London
clmts,18109,4.2,Croydon
clmts,18109,3.4,Ealing
clmts,18109,3.3,Enfield
clmts,18109,2.9,Greenwich
clmts,18109,3.4,Hackney
clmts,18109,3.6,Hammersmith & Fulham
clmts,18109,3.3,Haringey
clmts,18109,1.9,Harrow
clmts,18109,2.4,Havering
clmts,18109,2,Hillingdon
clmts,18109,3.5,Hounslow
clmts,18109,3,Islington
clmts,18109,2.1,Kensington & Chelsea
clmts,18109,1.7,Kingston upon Thames
clmts,18109,3.5,Lambeth
clmts,18109,3.6,Lewisham
clmts,18109,2.5,Merton
clmts,18109,2.9,Newham
clmts,18109,2.3,Redbridge
clmts,18109,1.7,Richmond upon Thames
clmts,18109,3.7,Southwark
clmts,18109,2.4,Sutton
clmts,18109,3.3,Tower Hamlets
clmts,18109,3.1,Waltham Forest
clmts,18109,2,Wandsworth
clmts,18109,2,Westminster
clmts,18109,2.8,United Kingdom
clmts,18140,3.8,Barking & Dagenham
clmts,18140,2.3,Barnet
clmts,18140,2,Bexley
clmts,18140,3.1,Brent
clmts,18140,1.9,Bromley
clmts,18140,2.1,Camden
clmts,18140,1.2,City of London
clmts,18140,4.2,Croydon
clmts,18140,3.4,Ealing
clmts,18140,3.3,Enfield
