dataset,x,y,LAD11NM
uc,18567,0.21290874232862345,Croydon
uc,18597,0.21541484968772798,Croydon
uc,18628,0.21617117898859967,Croydon
uc,18659,0.21893893540314088,Croydon
uc,18262,0.07541991189383578,Ealing
uc,18293,0.07900099485853104,Ealing
uc,18322,0.0816779430153082,Ealing
uc,18353,0.10408630374488648,Ealing
uc,18383,0.15738593707833357,Ealing
uc,18414,0.16874080657777574,Ealing
uc,18444,0.1735983151536495,Ealing
uc,18475,0.1765012970124062,Ealing
uc,18506,0.18059206381489842,Ealing
uc,18536,0.18392052087738128,Ealing
uc,18567,0.19048879433490404,Ealing
uc,18597,0.1941718140671587,Ealing
uc,18628,0.19594019538264557,Ealing
uc,18659,0.20148023709783008,Ealing
uc,18262,0.09655555853757468,Enfield
uc,18293,0.1013426509375944,Enfield
uc,18322,0.104806868897052,Enfield
uc,18353,0.13542332267610457,Enfield
uc,18383,0.17806936849019675,Enfield
uc,18414,0.18828119780475172,Enfield
uc,18444,0.1923640261141125,Enfield
uc,18475,0.1945719892091514,Enfield
uc,18506,0.19818848048550824,Enfield
uc,18536,0.2018811084203147,Enfield
uc,18567,0.20825755356547018,Enfield
uc,18597,0.21325402177622638,Enfield
uc,18628,0.21536681404820326,Enfield
uc,18659,0.2214625052653258,Enfield
uc,18262,0.061231837251719,Greenwich
uc,18293,0.06527829137617515,Greenwich
uc,18322,0.0681560007278423,Greenwich
uc,18353,0.09451249395953742,Greenwich
uc,18383,0.13670677746782667,Greenwich
uc,18414,0.144971101616748,Greenwich
uc,18444,0.1489604171078678,Greenwich
uc,18475,0.15267442827473066,Greenwich
uc,18506,0.15628974543855798,Greenwich
uc,18536,0.15774937779924111,Greenwich
uc,18567,0.1627827719540524,Greenwich
uc,18597,0.16758761157551832,Greenwich
uc,18628,0.16863688466042223,Greenwich
uc,18659,0.17261581130911724,Greenwich
uc,18262,0.05085810084228209,Harrow
uc,18293,0.05450636631926432,Harrow
uc,18322,0.05646490883848636,Harrow
uc,18353,0.07400218499099742,Harrow
uc,18383,0.1209752031235809,Harrow
uc,18414,0.13188799722578212,Harrow
uc,18444,0.13349451412880411,Harrow
uc,18475,0.13487061426485883,Harrow
uc,18506,0.1375652103452264,Harrow
uc,18536,0.14068863763078313,Harrow
uc,18567,0.144522516614489,Harrow
uc,18597,0.14715950850311474,Harrow
uc,18628,0.14875322447463857,Harrow
uc,18659,0.15236948762287533,Harrow
uc,18262,0.05497612693028287,Havering
uc,18293,0.05816369656781274,Havering
uc,18322,0.060784307178904484,Havering
uc,18353,0.09481444785466799,Havering
uc,18383,0.1261420838377431,Havering
uc,18414,0.13002890294121333,Havering
uc,18444,0.13118801917304238,Havering
uc,18475,0.1308100464887503,Havering
uc,18506,0.1327818039918073,Havering
uc,18536,0.1337015375235847,Havering
uc,18567,0.13492994874753397,Havering
uc,18597,0.1380167256692526,Havering
