dataset,xwhich,xvarchar,xvardt,yval,yvllb,text
rdnss_lng,1,2013,NA,54,Pupils whose first language is English,
rdnss_lng,1,2013,NA,46,Pupils whose first language is other than English,
rdnss_lng,1,2013,NA,50,All Pupils,
hsaff,1,11/12-13/14,NA,26,Working-age adults,
hsaff,1,11/12-13/14,NA,18,Pensioners,
hsaff,1,11/12-13/14,NA,27,All,
hsaff,1,12/13-14/15,NA,26,Working-age adults,
hsaff,1,12/13-14/15,NA,18,Pensioners,
hsaff,1,12/13-14/15,NA,27,All,
hsaff,1,13/14-15/16,NA,25,Working-age adults,
hsaff,1,13/14-15/16,NA,19,Pensioners,
hsaff,1,13/14-15/16,NA,27,All,
hsaff,1,14/15-16/17,NA,26,Working-age adults,
hsaff,1,14/15-16/17,NA,21,Pensioners,
hsaff,1,14/15-16/17,NA,28,All,
hsaff,1,15/16-17/18,NA,25,Working-age adults,
hsaff,1,15/16-17/18,NA,24,Pensioners,
hsaff,1,15/16-17/18,NA,28,All,
hmlage,1,2016/17,NA,0.1638981173864895,16-24,Proportion of total households accepted as statutorily homeless
hmlage,1,2017/18,NA,0.1640826873385013,16-24,Proportion of total households accepted as statutorily homeless
hmlage,1,2018/19,NA,0.16994838463008985,16-24,Households assessed as owed a duty
hmlage,1,2016/17,NA,0.6079734219269103,25-44,Proportion of total households accepted as statutorily homeless
hmlage,1,2017/18,NA,0.6001291989664083,25-44,Proportion of total households accepted as statutorily homeless
hmlage,1,2018/19,NA,0.5434907283502198,25-44,Households assessed as owed a duty
hmlage,1,2016/17,NA,0.20155038759689922,45-64,Proportion of total households accepted as statutorily homeless
hmlage,1,2017/18,NA,0.20671834625322996,45-64,Proportion of total households accepted as statutorily homeless
hmlage,1,2018/19,NA,0.2519594723762187,45-64,Households assessed as owed a duty
hmlage,1,2016/17,NA,0.018826135105204873,65-74,Proportion of total households accepted as statutorily homeless
hmlage,1,2017/18,NA,0.020671834625323,65-74,Proportion of total households accepted as statutorily homeless
hmlage,1,2018/19,NA,0.02504301280825846,65-74,Households assessed as owed a duty
hmlage,1,2016/17,NA,0.008305647840531562,75 & Over,Proportion of total households accepted as statutorily homeless
hmlage,1,2017/18,NA,0.00904392764857881,75 & Over,Proportion of total households accepted as statutorily homeless
hmlage,1,2018/19,NA,0.008602561651691838,75 & Over,Households assessed as owed a duty
ca_rp,2,,18632,11725,Furloughed,05 Jan
ca_rp,2,,18631,9124,Furloughed,04 Jan
ca_rp,2,,18630,2103,Furloughed,03 Jan
ca_rp,2,,18629,1395,Furloughed,02 Jan
ca_rp,2,,18628,1074,Furloughed,01 Jan
ca_rp,2,,18627,1489,Furloughed,31 Dec
ca_rp,2,,18626,1907,Furloughed,30 Dec
ca_rp,2,,18625,1249,Furloughed,29 Dec
ca_rp,2,,18624,906,Furloughed,28 Dec
ca_rp,2,,18623,648,Furloughed,27 Dec
ca_rp,2,,18622,485,Furloughed,26 Dec
ca_rp,2,,18621,265,Furloughed,25 Dec
ca_rp,2,,18620,610,Furloughed,24 Dec
ca_rp,2,,18619,1158,Furloughed,23 Dec
ca_rp,2,,18618,1302,Furloughed,22 Dec
ca_rp,2,,18617,1375,Furloughed,21 Dec
ca_rp,2,,18616,1090,Furloughed,20 Dec
ca_rp,2,,18615,949,Furloughed,19 Dec
ca_rp,2,,18614,1226,Furloughed,18 Dec
ca_rp,2,,18613,1318,Furloughed,17 Dec
ca_rp,2,,18612,865,Furloughed,16 Dec
ca_rp,2,,18611,1006,Furloughed,15 Dec
ca_rp,2,,18610,986,Furloughed,14 Dec
ca_rp,2,,18609,520,Furloughed,13 Dec
ca_rp,2,,18608,446,Furloughed,12 Dec
ca_rp,2,,18607,789,Furloughed,11 Dec
ca_rp,2,,18606,980,Furloughed,10 Dec
ca_rp,2,,18605,1059,Furloughed,09 Dec
ca_rp,2,,18604,1090,Furloughed,08 Dec
ca_rp,2,,18603,1120,Furloughed,07 Dec
ca_rp,2,,18602,675,Furloughed,06 Dec
ca_rp,2,,18601,633,Furloughed,05 Dec
ca_rp,2,,18600,1191,Furloughed,04 Dec
ca_rp,2,,18599,1513,Furloughed,03 Dec
ca_rp,2,,18598,1560,Furloughed,02 Dec
ca_rp,2,,18632,8904,Worried about working,05 Jan
ca_rp,2,,18631,6257,Worried about working,04 Jan
ca_rp,2,,18630,1737,Worried about working,03 Jan
ca_rp,2,,18629,1090,Worried about working,02 Jan
ca_rp,2,,18628,757,Worried about working,01 Jan
ca_rp,2,,18627,928,Worried about working,31 Dec
ca_rp,2,,18626,1266,Worried about working,30 Dec
ca_rp,2,,18625,724,Worried about working,29 Dec
ca_rp,2,,18624,571,Worried about working,28 Dec
ca_rp,2,,18623,352,Worried about working,27 Dec
ca_rp,2,,18622,282,Worried about working,26 Dec
ca_rp,2,,18621,114,Worried about working,25 Dec
ca_rp,2,,18620,240,Worried about working,24 Dec
ca_rp,2,,18619,498,Worried about working,23 Dec
ca_rp,2,,18618,588,Worried about working,22 Dec
ca_rp,2,,18617,791,Worried about working,21 Dec
ca_rp,2,,18616,671,Worried about working,20 Dec
ca_rp,2,,18615,456,Worried about working,19 Dec
ca_rp,2,,18614,349,Worried about working,18 Dec
ca_rp,2,,18613,493,Worried about working,17 Dec
ca_rp,2,,18612,392,Worried about working,16 Dec
ca_rp,2,,18611,454,Worried about working,15 Dec
ca_rp,2,,18610,464,Worried about working,14 Dec
ca_rp,2,,18609,258,Worried about working,13 Dec
ca_rp,2,,18608,192,Worried about working,12 Dec
ca_rp,2,,18607,273,Worried about working,11 Dec
ca_rp,2,,18606,397,Worried about working,10 Dec
ca_rp,2,,18605,373,Worried about working,09 Dec
ca_rp,2,,18604,370,Worried about working,08 Dec
ca_rp,2,,18603,468,Worried about working,07 Dec
ca_rp,2,,18602,272,Worried about working,06 Dec
ca_rp,2,,18601,210,Worried about working,05 Dec
ca_rp,2,,18600,393,Worried about working,04 Dec
ca_rp,2,,18599,505,Worried about working,03 Dec
ca_rp,2,,18598,755,Worried about working,02 Dec
ca_rp,2,,18632,2756,Self-isolating: getting benefits,05 Jan
ca_rp,2,,18631,2708,Self-isolating: getting benefits,04 Jan
ca_rp,2,,18630,1686,Self-isolating: getting benefits,03 Jan
ca_rp,2,,18629,1372,Self-isolating: getting benefits,02 Jan
ca_rp,2,,18628,985,Self-isolating: getting benefits,01 Jan
ca_rp,2,,18627,1111,Self-isolating: getting benefits,31 Dec
ca_rp,2,,18626,1307,Self-isolating: getting benefits,30 Dec
ca_rp,2,,18625,1284,Self-isolating: getting benefits,29 Dec
ca_rp,2,,18624,1136,Self-isolating: getting benefits,28 Dec
ca_rp,2,,18623,898,Self-isolating: getting benefits,27 Dec
ca_rp,2,,18622,739,Self-isolating: getting benefits,26 Dec
ca_rp,2,,18621,318,Self-isolating: getting benefits,25 Dec
ca_rp,2,,18620,535,Self-isolating: getting benefits,24 Dec
ca_rp,2,,18619,820,Self-isolating: getting benefits,23 Dec
